,listing,price
87,Lululemon DTB Duffel Black-RARE,98.0
88,Unlisted item,99.0
89,"JUICY COUTURE Bestseller Fame Satchel Bag In Cafe
          
      NWT",65.0
90,The Sak Crochet Mini Crossbody Purse Black,15.0
91,Sakroots,29.0
92,America & Beyond Caribbean Vacay Beaded Tote Bag.,70.0
93,GUC Tignanello Leather/Suede Colorful Patchwork Slouchy Hobo Handbag Y2K,21.0
94,"NEW CELINE SMALL CABAS THAI TOTE CROSSBODY BAG
          
      NWT",1699.0
95,"MK Leather Card Case, NWOT",20.0
96,Gucci Blue Diamante Medium Catherine Dome Handle two way Women's Bag with wallet,425.0
97,Frye Leather Backpack – Cognac Brown,119.0
98,"Straw Woven Tote Bag Shoulder Bag Shopping Bag Beach Bag‎ Beige
          
      NWT",30.0
99,Anthropologie Shiraleah Arden Wristlet,19.0
100,Nine West Bag crossbody wrislet,29.0
101,Louis Vuitton Monogram Trousse Toilette 28,499.0
102,"Lululemon All Night Bag 2L Black Lightweight Adjustable Crossbody Pack
          
      NWT",48.0
103,Vilenca Holland Brown Woven Shoulder Bag,65.0
104,Coach Black Signature Silver Chain ShoulderBag Adjustable Strap,66.0
105,Athleta Ombré Blue Tote Bag,20.0
106,Coach Y2K Hamptons Mini Canvas Summer Tote Bag With Lady Bug Charm EUC No. 5659,158.0
107,"🩷🎃NWOT-MAD ENGINE ADORABLE PINK PUMPKIN CROSSBODY 🩷🎃
          
      NWT",48.0
108,"Michael Kors Jet Set Large Pink Wristlet
          
      NWT",85.0
109,Saks Fifth Avenue black croc embossed leather vintage jewelry case rare,199.0
110,"Woman’s woven handbag
          
      NWT",38.0
111,"REBECCA MINKOFF, black Leather Crossbody Bag. 5 Zipper.",57.0
112,Coach Pebbled NAVY Leather Tote With Crossbody Strap,110.0
113,❤️❤️KURT GEIGER Shoulder Handbag Red Black Fabric Woven Fringe Gold Chain Strap,175.0
114,"Sak Saum For Abi Ferrin  For Freedom Clutch NWT
          
      NWT",38.0
115,MARC by Marc Jacob’s Classic Q Isabelle Crossbody Bag,65.0
116,Vintage Brown Leather Gucci Shoulder Bag,99.0
117,Vera Bradley Quilted Tote Bag,50.0
118,DKNY Quilted Shoulder Bag in Soft Cream,45.0
119,Vintage Dooney & Bourke Baguette Bag​​​​​,60.0
120,Kate Spade Bag Purse Handbag Leather Large Shopper Tote Black Pocketbook,100.0
121,Free People Mesh Floral Bag,10.0
122,New Handmade Buntal Straw Clutch Purse Chain Strap Magnetic Snap Closure Tan,46.0
123,"Juicy Couture Beige Satchel bag with crossbody strap
          
      NWT",62.0
124,Pretty Little Thing Satchel Crossbody - Black - Puffy Faux Leather Woven NWOT,25.0
125,"Antik Kraft | Floral Jute Straw Tote Bag
          
      NWT",64.0
126,Balenciaga Cabas Small Canvas Tote Bag Navy,2849.0
127,Kara light blue leather mini bag,250.0
128,Neiman Marcus Navy Perforated Tote Bag leather,25.0
129,"NWT Kate Spade Vibrant Black/White Neda Wallet
          
      NWT",118.0
130,"VERA Pelle,Genuine Leather‎ Navy Blue/Brown,Shoulder Bag",39.0
131,"Animal Spotted Fanny pack Waterproof new with tags pink
          
      NWT",20.0
132,"Stone Mountain Capri Leather Bag
          
      NWT",74.0
133,Vintage Embroidered Victorian Floral Chain Tapestry Handbag Small Purse Regency,59.0
134,Authentic Gucci Vintage Bamboo Drawstring Shoulder Bag Nylon Leather Dark Brown,225.0
135,"omen's Vegan Leather Convertible Tote Handbag, Stylish Round Handles, Large
          
      NWT",18.0
136,"Kate Spade Staci Lily Bloom Floral Print 3fer - Wristlet, Coin Pouch & Card Hold",117.0
137,Nine West Faux Gray Snakeskin bag handbag crossbody purse,15.0
138,Maggi B Quilted Tote Bag Boho Floral Paisley Red Gold Shoulder Bag Pattern 💵,14.0
139,Coach Mini Signature Black Wristlet Early 2000s Y2K,40.0
140,Paisley Patterned Tote Bag - Multicolor,28.0
141,Louis Vuitton Portefeuille Sarah Long Wallet,269.0
142,Baby Phat Patterned Clutch with Black Trim✨,28.0
143,Disney Anna Olaf Frozen Crossbody Bag,25.0
144,Furla Classic Trifold Wallet Saffiano Two Tone Leather • Vintage • Beautiful,63.0
145,"COPY - Authentic Prada dust bag 9X13.
          
      Boutique",25.0
146,Vintage Red Burberry's Card Holder- EUC,150.0
147,Valentina Orange Pebble Leather Backpack w/ Brown straps Bag Purse Made In Italy,65.0
148,Escort vintage frame bag,128.0
149,Victoria's Secret glitter drawstring silver backpack like new,44.0
150,Pixie Mood Vegan Leather Clutch / Cosmetics Pouch – Camel/Tan,14.0
151,"ALDO Geometric Satchel - Brown and Cream
          
      NWT",45.0
152,Kavu Travel Small Duffel Bag•Blue•RV Sail Boat Glider •Used* Read,25.0
153,"Coach Rainbow Roller Skate Print Graphic Canvas Tote Bag Limited Edition New!
          
      NWT",289.0
154,Carla Marchi messenger bag great condition,62.0
155,Crochet Hobo Crossbody Bag Purse Green Zipper Crochet Straps,13.0
156,Adidas Sackpack Drawstring‎ Retro Style Colorful Gym Cinched Backpack Storage,14.0
157,"Trader Joe's Blue and Cream Canvas Tote
          
      NWT",20.0
