,listing,size,brand,price
81,"⭐️NWT⭐️ Patricia Nash Cauchy Florence Tooled Leather Frame Wallet
          
      NWT",,,100.0
82,EUC Coach Horse & Carriage Corner Zip Wristlet in Rose Pink,,,39.0
83,STEVE MADDEN women’s wine burgundy colored tara crossbody bag,,,25.0
84,Patricia Nash Nela Crossbody Satchel Croc Embossed Leather maroon,,,68.0
85,1960s Beaded Hong Kong Evening Bag Sequins Vintage Retro‎ Glam Cocktail Purse,,,40.0
86,"Kate spade holiday card wallet
          
      NWT",,,85.0
87,MAC Cosmetics Black and Blue Toiletry Bag,,,25.0
88,Rebecca Minkoff Back Leather Crossbody,,,80.0
89,"Lord Of The Rings Balrog Light Up Backpack‎ Boxlunch Exclusive
          
      NWT",,,99.0
90,"Rain Waterproof Loop‎ Shopper Mini MINERAL
          
      NWT",,,105.0
91,"Claris Virot Black Basket Jo
          
      NWT",,,150.0
92,Yves Saint Laurent Brown Quilted Shoulder Bag,,,418.0
93,Tignanello Tan Pebbled Leather Hobo Shoulder Bag Beige Boho Luxe Slouchy Purse,,,39.0
94,"JUICY COUTURE BACKPACK,Juicy Couture Black Backpack with Pink Details.
          
      NWT",,,85.0
95,"Kate Spade Madison Leopard Mini Baguette Y2K Chain Shoulder Bag NWT
          
      NWT",,,98.0
96,Celine Black and Pink Wallet,,,150.0
97,Louis Vuitton Beige and Dark Brown Women's Wallet,,,520.0
98,Kate Landry clutch,,,30.0
99,Coach Signature Wallet Multifunction Bifold Jacquard & Burgundy Leather,,,55.0
100,NWOT Tryst TriFold croc print leather wallet black,,,48.0
101,lululemon athletica Compact Half-Moon Crossbody Bag-2L,,,50.0
102,Sondra Roberts‎ Squared WISH Sequin Clutch Wristlet Bag,,,10.0
103,Small Backpack Purse,,,13.0
104,Island Bungalow Jute Artisan Boho‎ Rag Bag Shoulder Bag Beach Tote,,,97.0
105,"Dark Pink Turquoise Western Style Concho Handmade Magnetic Bag Charm Pear Shape
          
      Boutique",,,29.0
106,"Rebecca Minkoff Colorblock Leather Crossboday Bag
          
      NWT",,,37.0
107,Toni Large Black Leather Crossbody Bag Adjustable Strap Zip Top Classic Purse,,,89.0
108,"Kipling 20"" Carry On Wheeled Luggage Rolling Carry-On Bag Suitcase Glacier Green",,,72.0
109,Louis Vuitton Epi Neonoe Rose Ballerine Orange,,,1500.0
110,Gucci Flora Limited Edition Long Wallet Blue Multiple Colors (133082),,,525.0
111,HOBO Black Leather Wristlet Wallet Clutch with Zip Around Closure and Card Slots,,,100.0
112,Louis Vuitton Monogram Pochette Accessoire Pouch,,,2469.0
113,Vintage Gucci GG Supreme Clutch Pouch Navy Leather Trim Late 80s,,,280.0
114,Nanette Lepore Bucket Bag Purse Cognac Tan Floral Cut Out Cottage Core Boho‎,,,14.0
115,Gucci GG Canvas Tote Bag Web Stripe Handles Authentic,,,385.0
116,Matte Red Jelly Rubber Faux Quilted Bag Chain Handle and Strap,,,30.0
117,Kathy Van Zeeland Shoulder Hobo Bag Blue Y2K Boho,,,39.0
118,Steve Madden Faux Pebbled Leather Crossbody Bag,,,18.0
119,New Kate Spade Monica Pebbled Leather Crossbody Taro Milk,,,70.0
120,"Anthropologie The Fiona Beaded Bag: Rhinestone Plaid Edition
          
      NWT",,,225.0
121,Vintage Coach Dark Blue Companion Crossbody Bag with Gold Hardware-9076,,,141.0
122,"NWT Brown Floral Viral Beaded Handcrafted Made India Woven Tote Shoulder Handbag
          
      NWT",,,50.0
123,Sakroots Artist Circle Wristlet Birds Embellished Clutch Metallic Mesh AS IS,,,13.0
124,JUICY COUTURE Velour Round Embroidered Logo Coin Purse Mini Travel Bag NEW NWOT,,,15.0
125,American Eagle- half moon Colorful Rainbow Shoulder Bag,,,24.0
126,[Kenneth Cole Reaction] Red Crossbody Sling Purse,,,35.0
127,Kara light blue leather mini bag,,,250.0
128,Coach Beige Leather Pleated Shoulder Bag Great Condition Made In India,,,110.0
129,New Purse… Never used,,,10.0
130,Louis Vuitton Porte Wallet Wallet Visite Carte,,,3599.0
131,Vintage Leather Purse Fossil Shoulder Bag Crossbody Hobo Bucket Satchel,,,69.0
132,New Brown Suede Vegan Leather Bag with Pouch and Strap.,,,80.0
133,Fossil Coronado Pebbled Leather Black/Brown Hand Bag East West‎,,,27.0
134,"Kate Spade Tinsel Flap Crossbody  Clutch Bag with Floral Print
          
      NWT",,,139.0
135,Popcorn Milano Black Leather Shoulder Bag with Chain Strap & Gold & Silver Studs,,,36.0
136,"Juicy Couture bag,Juicy Couture Backpack,Juicy Couture Pink Logo Backpack.
          
      NWT",,,54.0
137,Coach Bag Madison Gold Metallic Small Signature Shoulder Bag,,,126.0
138,Hermes Birkin 30 Biscuit Tan Beige Clemence Leather Gold Hardware,,,25000.0
139,Tan Shoulder Crossbody Bag For Women,,,10.0
140,"Vera Bradley NWT Iconic RFID Slim Wristlet - beautiful lining!
          
      NWT",,,28.0
141,"NEW Vera Bradley Tote Bag Northern Lights Pattern Handbag Top Handle Black NWT
          
      NWT",,,89.0
142,Laude The Label Natural Convertible Canvas Backpack Drawstring Closure Ivory‎,,,23.0
143,"🍋LULULEMON ATHLETICA | Everywhere Belt Bag in Powder‎ Blue
          
      NWT",,,105.0
144,SAMSONITE Black Convertible Shoulder / Duffel Bag,,,38.0
145,Lululemon Extra Mile Duffel Bag Red Grape/Black,,,150.0
146,"Kate spade 3D bubblegum crossbody
          
      NWT",,,150.0
147,L.I.B. New York Crossbody Blue Floral Wrislet Zip Clouser Purse Tassel Bohemian,,,20.0
148,Mario Valentino Brown Monogram Tote Bag,,,140.0
149,Vintage Adrienne Picard Leather Organizer Belt Bag All Weather Leather,,,15.0
150,"Stylish Purple and Black Liz Claiborne Women's Bag With Long‎ Gold Chain
          
      NWT",,,15.0
151,1951 Maison Francaise Bag Rond (Round) Purse White Crackle Zippered,,,65.0
152,RARE Lululemon‎ Clean Lines Belt Bag Word-mark Logo Gray/Black 💎,,,63.0
153,CROSSI Pink Bow Gold Chain Crossbody Bag,,,32.0
154,Fossil Black Leather Hobo Crossbody / Shoulder Bag,,,220.0
155,doTERRA NWOT Backpack‎,,,35.0
156,Coach Vintage Fletcher (4150) Black Leather Shoulder Bag,,,210.0
157,Lululemon Fleece Everywhere Belt Bag 1L,,,70.0
158,"Michael Kors collection runway
CHRISTIE PYTHON EMBOSSED
LEATHER BAG RETAIL 1,090",,,450.0
159,Medium Cartoon Graphic Makeup Bag,,,18.0
