,listing,brand,price
82,"XOXO Women’s Brown Tan Snap Wallet – Compact 4x3.25-in Fashion Accessory  Brown
          
      NWT",,33.0
83,"Jinammi‎ Purse
          
      NWT",,86.0
84,✨NWOT - Coach Vale Belt Bag ✨,,215.0
85,EUC Zara Half Moon Chain Strap Shoulder Bag,,55.0
86,Michael Kors Whitney Pebbled Leather Tote Pale Blue,,72.0
87,Women's Brown Boho Elephant Handbag Studded Tote Brown Faux Leather,,25.0
88,"STAUD BEADED ZODIAC TOMMY BAG CANCER
          
      NWT",,1500.0
89,Coach Signature Black and Brown Crossbody Bag,,179.0
90,Elegant Euc B Makowsky Black Leather Tote Bag,,75.0
91,CHANEL Black and Gold Shoulder Bag,,5199.0
92,"New PANDORA x Disney Mickey & Minnie Mouse Gold Navy Blue Wristlet Pouch Magical
          
      NWT",,55.0
93,Authentic Louis Vuitton Keepall 50 travel bag green Epi leather unisex,,899.0
94,"Steve Madden Bloodstone/ Burgundy Mini Bag/wallet
          
      NWT",,32.0
95,B. makowski Vintage Purse,,35.0
96,Halston Heritage Oval Crossbody Faux Snakeskin Purse Chain Strap Magnetic,,20.0
97,CELINE Logo 2way Top Handle Shoulder Hand Bag Leather Yellow Italy 89RF903,,1177.0
98,Vintage 90s Black Leather Backpack Drawstring Rucksack,,85.0
99,Yves Saint Laurent Quilted Black Clutch with Gold Accent,,366.0
100,Kate Spade Grove Street Carli Colorblock Satchel,,35.0
101,"Vtg DOONEY and BOURKE signature canvas laptop bag, makeup bag bundle NWT",,175.0
102,Victoria's Secret Blush Quilted Crossbody Bag with mirror,,50.0
103,Gigi Crossbody‎ Handbag Women's Leather Camera Handbag Burgundy Wine Small,,52.0
104,Coach - VINTAGE HADLEY - USA - EXCELLENT CONDITION - Purple,,320.0
105,Michael Kors | Bay Large Woven Canvas Tote Bag | Shoulder Bag | Neon | Womens,,159.0
106,"Stylish book theme Tote Bag!
          
      NWT",,20.0
107,Emporio Armani Bag,,299.0
108,"🖤‎ FREE 🖤 *NEW* Sephora - 2018 Rouge Hand Bag
          
      NWT",,5.0
109,Never used bueno purse with pink flowers.,,14.0
110,Vintage 70s Hand Tooled Leather Saddle Bag Boho Whipstitch Purse,,80.0
111,"Juicy Couture Heart Shape Wristlet Wallet
          
      NWT",,30.0
112,"COACH Accordion Zip wallet in prairie print - 59014- NWT
          
      NWT",,150.0
113,"Michael Kors Kendall Small Rhinestone Embellished Shoulder Bag NEW
          
      NWT",,199.0
114,"Tory Burch T Monogram Jacquard Moon Crossbody Bag Blue
          
      NWT",,300.0
115,Dooney & Bourke leather Small Lexington,,99.0
116,"Badgley Mischka Quilted Studded Tote Bag Pink Vegan Leather Purse Crossbody
          
      NWT",,35.0
117,Vintage Fossil 1954 Leather Crossbody Purse,,40.0
